title,runtime_minutes,genres,averagerating,domestic_gross,foreign_gross,year,global_sales
On the Road,124.0,"Adventure,Drama,Romance",6.1,744000.0,8000000.0,2012,8744000.0
On the Road,89.0,Drama,6.0,744000.0,8000000.0,2012,8744000.0
On the Road,121.0,Drama,5.7,744000.0,8000000.0,2012,8744000.0
The Secret Life of Walter Mitty,114.0,"Adventure,Comedy,Drama",7.3,58200000.0,129900000.0,2013,188100000.0
A Walk Among the Tombstones,114.0,"Action,Crime,Drama",6.5,26300000.0,26900000.0,2014,53200000.0
Jurassic World,124.0,"Action,Adventure,Sci-Fi",7.0,652300000.0,1019.4,2015,652301019.4
Spy,110.0,"Action,Crime,Drama",6.6,110800000.0,124800000.0,2015,235600000.0
Spy,119.0,"Action,Comedy,Crime",7.0,110800000.0,124800000.0,2015,235600000.0
The Rum Diary,119.0,"Comedy,Drama",6.2,13100000.0,10800000.0,2011,23900000.0
The Three Stooges,92.0,"Comedy,Family",5.1,44300000.0,10500000.0,2012,54800000.0
Tangled,100.0,"Adventure,Animation,Comedy",7.8,200800000.0,391000000.0,2010,591800000.0
John Carter,132.0,"Action,Adventure,Sci-Fi",6.6,73100000.0,211100000.0,2012,284200000.0
Cowboys & Aliens,119.0,"Action,Sci-Fi,Thriller",6.0,100200000.0,74600000.0,2011,174800000.0
Dinner for Schmucks,114.0,Comedy,5.9,73000000.0,13800000.0,2010,86800000.0
The A-Team,117.0,"Action,Adventure,Thriller",6.8,77200000.0,100000000.0,2010,177200000.0
The Possession,92.0,"Horror,Mystery,Thriller",5.9,49100000.0,36300000.0,2012,85400000.0
Real Steel,127.0,"Action,Drama,Family",7.1,85500000.0,213800000.0,2011,299300000.0
The Giver,97.0,"Drama,Romance,Sci-Fi",6.5,45100000.0,21900000.0,2014,67000000.0
Toy Story 3,103.0,"Adventure,Animation,Comedy",8.3,415000000.0,652000000.0,2010,1067000000.0
Lincoln,150.0,"Biography,Drama,History",7.4,182200000.0,93100000.0,2012,275300000.0
Scott Pilgrim vs. the World,112.0,"Action,Comedy,Fantasy",7.5,31500000.0,16100000.0,2010,47600000.0
Puss in Boots,90.0,"Action,Adventure,Animation",6.6,149300000.0,405700000.0,2011,555000000.0
Wonder Woman,141.0,"Action,Adventure,Fantasy",7.5,412600000.0,409300000.0,2017,821900000.0
Wonder Woman,60.0,Sci-Fi,4.2,412600000.0,409300000.0,2017,821900000.0
Wonder Woman,75.0,"Documentary,Drama,Sport",6.9,412600000.0,409300000.0,2017,821900000.0
Life of Pi,127.0,"Adventure,Drama,Fantasy",7.9,125000000.0,484000000.0,2012,609000000.0
The Crazies,101.0,"Horror,Thriller",6.5,39100000.0,15700000.0,2010,54800000.0
The Equalizer,132.0,"Action,Crime,Thriller",7.2,101500000.0,90800000.0,2014,192300000.0
Captain America: The First Avenger,124.0,"Action,Adventure,Sci-Fi",6.9,176700000.0,193900000.0,2011,370600000.0
A Long Way Down,96.0,"Comedy,Drama",6.4,13300.0,7200000.0,2014,7213300.0
The Only Living Boy in New York,89.0,Drama,6.3,624000.0,1900000.0,2017,2524000.0
Saving Private Perez,105.0,"Adventure,Comedy,Western",6.0,1400000.0,7900000.0,2011,9300000.0
Piranha 3D,88.0,"Comedy,Horror",5.4,25000000.0,58200000.0,2010,83200000.0
Ex Machina,108.0,"Drama,Mystery,Sci-Fi",7.7,25400000.0,11400000.0,2015,36800000.0
Tower Heist,104.0,"Action,Comedy,Crime",6.2,78000000.0,74900000.0,2011,152900000.0
The Smurfs,103.0,"Adventure,Animation,Comedy",5.5,142600000.0,421100000.0,2011,563700000.0
The Mechanic,93.0,"Action,Crime,Thriller",6.6,29100000.0,47000000.0,2011,76100000.0
Prince of Persia: The Sands of Time,116.0,"Action,Adventure,Fantasy",6.6,90800000.0,245600000.0,2010,336400000.0
"Hail, Caesar!",106.0,"Comedy,Drama,Music",6.3,30500000.0,33100000.0,2016,63600000.0
Unstoppable,98.0,"Action,Thriller",6.8,81600000.0,86200000.0,2010,167800000.0
Unstoppable,65.0,Documentary,4.3,81600000.0,86200000.0,2010,167800000.0
Unstoppable,116.0,"Action,Crime",6.5,81600000.0,86200000.0,2010,167800000.0
Unstoppable,84.0,Documentary,8.1,81600000.0,86200000.0,2010,167800000.0
Extremely Loud & Incredibly Close,129.0,"Adventure,Drama,Mystery",6.9,31800000.0,23400000.0,2011,55200000.0
The Tree of Life,139.0,"Drama,Fantasy",6.8,13300000.0,41000000.0,2011,54300000.0
Ant-Man,117.0,"Action,Adventure,Comedy",7.3,180200000.0,339100000.0,2015,519300000.0
Season of the Witch,95.0,"Action,Adventure,Fantasy",5.4,24800000.0,66800000.0,2011,91600000.0
The Losers,97.0,"Action,Adventure,Crime",6.4,23600000.0,5800000.0,2010,29400000.0
The Losers,112.0,Drama,1.7,23600000.0,5800000.0,2010,29400000.0
Hall Pass,105.0,"Comedy,Romance",5.9,45100000.0,38100000.0,2011,83200000.0
The Croods,98.0,"Action,Adventure,Animation",7.2,187200000.0,400000000.0,2013,587200000.0
Red Tails,125.0,"Action,Adventure,Drama",5.9,49900000.0,489000.0,2012,50389000.0
Something Borrowed,112.0,"Comedy,Drama,Romance",5.9,39000000.0,21100000.0,2011,60100000.0
Tulip Fever,105.0,"Drama,History,Romance",6.2,2500000.0,5900000.0,2017,8400000.0
Furry Vengeance,92.0,"Comedy,Family",3.8,17600000.0,18600000.0,2010,36200000.0
Ramona and Beezus,103.0,"Adventure,Comedy,Family",6.6,26200000.0,1100000.0,2010,27300000.0
Rings,102.0,"Drama,Horror,Mystery",4.5,27800000.0,55300000.0,2017,83100000.0
A Thousand Words,91.0,"Comedy,Drama",5.9,18500000.0,3600000.0,2012,22100000.0
What's Your Number?,106.0,"Comedy,Romance",6.1,14000000.0,16399999.0,2011,30399999.0
Man of Steel,143.0,"Action,Adventure,Sci-Fi",7.1,291000000.0,377000000.0,2013,668000000.0
The Wolfman,103.0,"Drama,Fantasy,Horror",5.8,62000000.0,77800000.0,2010,139800000.0
The Boxtrolls,96.0,"Adventure,Animation,Comedy",6.8,50800000.0,58400000.0,2014,109200000.0
The Man Who Knew Infinity,108.0,"Biography,Drama",7.2,3900000.0,8400000.0,2016,12300000.0
The Incredible Burt Wonderstone,100.0,"Adventure,Comedy,Fantasy",5.9,22500000.0,4900000.0,2013,27400000.0
Dallas Buyers Club,117.0,"Biography,Drama",8.0,27300000.0,27900000.0,2013,55200000.0
The First Grader,103.0,"Biography,Drama,Romance",7.5,332000.0,382000.0,2011,714000.0
Jack Reacher,130.0,"Action,Crime,Thriller",7.0,80100000.0,138300000.0,2012,218400000.0
R.I.P.D.,96.0,"Action,Adventure,Comedy",5.6,33600000.0,44700000.0,2013,78300000.0
Miles Ahead,100.0,"Biography,Drama,Music",6.4,2600000.0,850000.0,2016,3450000.0
Scary Movie 5,86.0,Comedy,3.5,32000000.0,46400000.0,2013,78400000.0
Thor,115.0,"Action,Adventure,Fantasy",7.0,181000000.0,268300000.0,2011,449300000.0
Warcraft,123.0,"Action,Adventure,Fantasy",6.9,47400000.0,386300000.0,2016,433700000.0
It's Kind of a Funny Story,101.0,"Comedy,Drama,Romance",7.1,6400000.0,128000.0,2010,6528000.0
The Mule,100.0,"Comedy,Drama",6.2,103800000.0,68700000.0,2018,172500000.0
The Mule,103.0,"Comedy,Crime,Drama",6.3,103800000.0,68700000.0,2018,172500000.0
The Mule,116.0,"Crime,Drama,Thriller",7.1,103800000.0,68700000.0,2018,172500000.0
Tooth Fairy,101.0,"Comedy,Family,Fantasy",5.0,60000000.0,52400000.0,2010,112400000.0
Tooth Fairy,86.0,Horror,2.6,60000000.0,52400000.0,2010,112400000.0
The Danish Girl,119.0,"Biography,Drama,Romance",7.1,11100000.0,53100000.0,2015,64200000.0
Jack and Jill,91.0,Comedy,3.3,74200000.0,75500000.0,2011,149700000.0
She's Out of My League,104.0,"Comedy,Romance",6.4,32000000.0,17800000.0,2010,49800000.0
The Book Thief,131.0,"Drama,War",7.6,21500000.0,55100000.0,2013,76600000.0
Interstellar,169.0,"Adventure,Drama,Sci-Fi",8.6,188000000.0,489400000.0,2014,677400000.0
World War Z,116.0,"Action,Adventure,Horror",7.0,202400000.0,337600000.0,2013,540000000.0
Valentine's Day,125.0,"Comedy,Romance",5.7,110500000.0,106000000.0,2010,216500000.0
Priest,87.0,"Action,Adventure,Fantasy",5.7,29100000.0,49200000.0,2011,78300000.0
Dracula Untold,92.0,"Action,Drama,Fantasy",6.3,56300000.0,160800000.0,2014,217100000.0
Hotel Transylvania,91.0,"Animation,Comedy,Family",7.1,148300000.0,210100000.0,2012,358400000.0
The Town,125.0,"Crime,Drama,Thriller",7.6,92200000.0,61800000.0,2010,154000000.0
The Kids Are All Right,106.0,"Comedy,Drama,Romance",7.0,20800000.0,13900000.0,2010,34700000.0
Hoodwinked Too! Hood vs. Evil,86.0,"Animation,Comedy,Crime",4.8,10100000.0,6800000.0,2011,16900000.0
Epic,102.0,"Adventure,Animation,Family",6.7,107500000.0,160900000.0,2013,268400000.0
Risen,121.0,"Biography,Drama",5.3,36900000.0,9200000.0,2016,46100000.0
Risen,107.0,"Action,Adventure,Drama",6.3,36900000.0,9200000.0,2016,46100000.0
The Sweeney,112.0,"Action,Crime,Drama",6.1,26700.0,6300000.0,2013,6326700.0
Evangelion: 3.0 You Can (Not) Redo,96.0,"Action,Animation,Drama",7.0,175000.0,60300000.0,2014,60475000.0
Mr. Peabody & Sherman,92.0,"Adventure,Animation,Comedy",6.8,111500000.0,164200000.0,2014,275700000.0
My Soul to Take,107.0,"Horror,Mystery,Thriller",4.8,14700000.0,6200000.0,2010,20900000.0
Please Give,87.0,"Comedy,Drama",6.6,4000000.0,280000.0,2010,4280000.0
Eat Pray Love,133.0,"Drama,Romance",5.8,80600000.0,124000000.0,2010,204600000.0
Sanctum,108.0,"Adventure,Drama,Thriller",5.9,23200000.0,85400000.0,2011,108600000.0
Legends of Oz: Dorothy's Return,88.0,"Adventure,Animation,Family",5.5,8500000.0,10200000.0,2014,18700000.0
The Wedding Ringer,101.0,Comedy,6.7,64500000.0,15300000.0,2015,79800000.0
The Switch,101.0,"Comedy,Drama,Romance",6.1,27800000.0,22100000.0,2010,49900000.0
Letters to Juliet,105.0,"Adventure,Comedy,Drama",6.6,53000000.0,26100000.0,2010,79100000.0
How to Train Your Dragon,98.0,"Action,Adventure,Animation",8.1,217600000.0,277300000.0,2010,494900000.0
Shrek Forever After,93.0,"Adventure,Animation,Comedy",6.3,238700000.0,513900000.0,2010,752600000.0
From Prada to Nada,107.0,"Comedy,Drama,Romance",5.6,3000000.0,123000.0,2011,3123000.0
The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,303000000.0,718100000.0,2012,1021100000.0
Love & Mercy,121.0,"Biography,Drama,Music",7.4,12600000.0,16100000.0,2015,28700000.0
The Legend of Tarzan,110.0,"Action,Adventure,Drama",6.3,126600000.0,230100000.0,2016,356700000.0
Rabbit Hole,91.0,Drama,7.0,2200000.0,2900000.0,2010,5100000.0
The Last Airbender,103.0,"Action,Adventure,Family",4.1,131800000.0,187900000.0,2010,319700000.0
Salt,100.0,"Action,Mystery,Thriller",6.4,118300000.0,175200000.0,2010,293500000.0
